8.793327808380126953e-01,8.788935542106628418e-01,8.862011432647705078e-01,8.785663843154907227e-01,1.967781782150268555e-02
8.739690780639648438e-01,8.716004490852355957e-01,8.749482631683349609e-01,8.704770803451538086e-01,2.684895694255828857e-02
8.793917894363403320e-01,8.753423690795898438e-01,8.725870847702026367e-01,8.640055656433105469e-01,3.782676905393600464e-02
8.744661211967468262e-01,8.929969668388366699e-01,8.839346170425415039e-01,8.941894173622131348e-01,2.912193164229393005e-02
8.808581829071044922e-01,8.779494762420654297e-01,8.824402093887329102e-01,8.748044967651367188e-01,1.858922839164733887e-02
8.970770239830017090e-01,8.926779627799987793e-01,8.950031399726867676e-01,8.859475851058959961e-01,1.834054663777351379e-02
8.857839107513427734e-01,8.942099213600158691e-01,8.929558396339416504e-01,8.983939290046691895e-01,2.628869563341140747e-02
8.700324892997741699e-01,8.769467473030090332e-01,8.724775314331054688e-01,8.789745569229125977e-01,3.427845612168312073e-02
8.790079951286315918e-01,8.744227886199951172e-01,8.706842660903930664e-01,8.762354850769042969e-01,3.953658044338226318e-02
8.681773543357849121e-01,8.719281554222106934e-01,8.683828711509704590e-01,8.650727272033691406e-01,4.909584298729896545e-02
9.050093293190002441e-01,9.001653194427490234e-01,8.978923559188842773e-01,8.936485052108764648e-01,3.843250870704650879e-02
9.181231856346130371e-01,9.253668189048767090e-01,9.158202409744262695e-01,9.094238877296447754e-01,3.608212620019912720e-02
9.311091303825378418e-01,9.261641502380371094e-01,9.185250401496887207e-01,9.150594472885131836e-01,3.373464569449424744e-02
9.276695251464843750e-01,9.312218427658081055e-01,9.354815483093261719e-01,9.306725859642028809e-01,1.864147931337356567e-02
9.467757344245910645e-01,9.421492218971252441e-01,9.389984011650085449e-01,9.375177621841430664e-01,3.395236283540725708e-02
9.527064561843872070e-01,9.512814879417419434e-01,9.559200406074523926e-01,9.525654911994934082e-01,3.815092891454696655e-02
9.817390441894531250e-01,9.758852720260620117e-01,9.799350500106811523e-01,9.676966667175292969e-01,3.050081059336662292e-02
